127.0.0.1 - - [12/May/2021:18:14:04 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/May/2021:18:14:07 +0530] "GET /foodmanagement/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:18:14:09 +0530] "GET /foodmanagement/images/img_bg_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:18:14:15 +0530] "GET /foodmanagement/admin_login.jsp HTTP/1.1" 200 5058
0:0:0:0:0:0:0:1 - - [12/May/2021:18:14:27 +0530] "POST /foodmanagement/admin_login_action.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2021:18:14:27 +0530] "GET /foodmanagement/admin_home.jsp HTTP/1.1" 200 4381
0:0:0:0:0:0:0:1 - - [12/May/2021:18:14:33 +0530] "GET /foodmanagement/view_agent.jsp HTTP/1.1" 500 2779
0:0:0:0:0:0:0:1 - - [12/May/2021:18:15:34 +0530] "GET /foodmanagement/admin_home.jsp HTTP/1.1" 200 4381
0:0:0:0:0:0:0:1 - - [12/May/2021:18:15:35 +0530] "GET /foodmanagement/images/img_bg_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:18:15:41 +0530] "GET /foodmanagement/view_agent.jsp HTTP/1.1" 200 4582
0:0:0:0:0:0:0:1 - - [12/May/2021:18:15:48 +0530] "GET /foodmanagement/view_orph.jsp HTTP/1.1" 200 4681
0:0:0:0:0:0:0:1 - - [12/May/2021:18:16:31 +0530] "GET /foodmanagement/help.jsp HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [12/May/2021:18:16:31 +0530] "GET /foodmanagement/css/icomoon.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [12/May/2021:18:16:31 +0530] "GET /foodmanagement/css/themify-icons.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [12/May/2021:18:16:31 +0530] "GET /foodmanagement/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:18:16:31 +0530] "GET /foodmanagement/css/glyphicon.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [12/May/2021:18:16:31 +0530] "GET /open-iconic/svg/phone.svg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/May/2021:18:16:32 +0530] "GET /foodmanagement/about.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [12/May/2021:18:17:23 +0530] "GET /foodmanagement/about.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [12/May/2021:18:17:27 +0530] "GET /foodmanagement/about.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [12/May/2021:18:17:31 +0530] "GET /foodmanagement/view_orph.jsp HTTP/1.1" 200 4682
0:0:0:0:0:0:0:1 - - [12/May/2021:18:17:33 +0530] "GET /foodmanagement/about.html HTTP/1.1" 200 4801
0:0:0:0:0:0:0:1 - - [12/May/2021:18:17:59 +0530] "GET /foodmanagement/view_agent.jsp HTTP/1.1" 200 4583
0:0:0:0:0:0:0:1 - - [12/May/2021:18:18:21 +0530] "GET /foodmanagement/help.jsp HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [12/May/2021:18:18:21 +0530] "GET /foodmanagement/css/icomoon.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [12/May/2021:18:18:21 +0530] "GET /foodmanagement/css/themify-icons.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [12/May/2021:18:18:21 +0530] "GET /foodmanagement/css/glyphicon.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [12/May/2021:18:18:21 +0530] "GET /open-iconic/svg/phone.svg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/May/2021:18:18:58 +0530] "GET /foodmanagement/admin_login.jsp HTTP/1.1" 200 5058
0:0:0:0:0:0:0:1 - - [12/May/2021:18:19:41 +0530] "GET /foodmanagement/about.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:18:19:42 +0530] "GET /foodmanagement/images/img_bg_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:18:19:44 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4083
0:0:0:0:0:0:0:1 - - [12/May/2021:18:19:45 +0530] "GET /foodmanagement/images/img_bg_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:18:19:56 +0530] "GET /foodmanagement/help.jsp HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [12/May/2021:18:19:56 +0530] "GET /foodmanagement/css/icomoon.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [12/May/2021:18:19:56 +0530] "GET /foodmanagement/css/themify-icons.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [12/May/2021:18:19:56 +0530] "GET /foodmanagement/css/glyphicon.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [12/May/2021:18:19:56 +0530] "GET /open-iconic/svg/phone.svg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/May/2021:18:20:43 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4091
0:0:0:0:0:0:0:1 - - [12/May/2021:18:20:47 +0530] "GET /foodmanagement/images/img_bg_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:18:21:59 +0530] "GET /foodmanagement/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:18:21:59 +0530] "GET /foodmanagement/images/img_bg_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:18:22:31 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4090
0:0:0:0:0:0:0:1 - - [12/May/2021:18:22:32 +0530] "GET /foodmanagement/images/img_bg_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:18:23:15 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4090
0:0:0:0:0:0:0:1 - - [12/May/2021:18:23:16 +0530] "GET /foodmanagement/images/img_bg_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:18:24:20 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4075
0:0:0:0:0:0:0:1 - - [12/May/2021:18:24:20 +0530] "GET /foodmanagement/images/img_bg_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:18:25:05 +0530] "GET /foodmanagement/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:18:25:05 +0530] "GET /foodmanagement/images/img_bg_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:18:25:14 +0530] "GET /foodmanagement/help.jsp HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [12/May/2021:18:25:14 +0530] "GET /foodmanagement/css/icomoon.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [12/May/2021:18:25:14 +0530] "GET /foodmanagement/css/themify-icons.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [12/May/2021:18:25:15 +0530] "GET /foodmanagement/css/glyphicon.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [12/May/2021:18:25:15 +0530] "GET /open-iconic/svg/phone.svg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/May/2021:18:25:42 +0530] "GET /foodmanagement/about.html HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [12/May/2021:18:25:43 +0530] "GET /foodmanagement/images/img_bg_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:18:26:01 +0530] "GET /foodmanagement/about.html HTTP/1.1" 200 4810
0:0:0:0:0:0:0:1 - - [12/May/2021:18:26:01 +0530] "GET /foodmanagement/images/img_bg_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:18:26:08 +0530] "GET /foodmanagement/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:18:26:08 +0530] "GET /foodmanagement/images/img_bg_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:18:26:10 +0530] "GET /foodmanagement/about.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:18:26:57 +0530] "GET /foodmanagement/home.html HTTP/1.1" 304 -
