127.0.0.1 - - [05/Jun/2021:10:24:59 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Jun/2021:10:25:03 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4761
0:0:0:0:0:0:0:1 - - [05/Jun/2021:10:25:05 +0530] "GET /foodmanagement/images/img_bg_1.jpg HTTP/1.1" 200 64546
0:0:0:0:0:0:0:1 - - [05/Jun/2021:10:25:22 +0530] "GET /foodmanagement/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:10:25:23 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Jun/2021:10:47:26 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [05/Jun/2021:10:48:42 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4800
0:0:0:0:0:0:0:1 - - [05/Jun/2021:10:49:39 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [05/Jun/2021:10:49:56 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [05/Jun/2021:10:50:15 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [05/Jun/2021:10:50:37 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [05/Jun/2021:11:37:34 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4778
0:0:0:0:0:0:0:1 - - [05/Jun/2021:11:38:06 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4589
0:0:0:0:0:0:0:1 - - [05/Jun/2021:11:38:35 +0530] "GET /foodmanagement/agent_reg.jsp HTTP/1.1" 200 7850
0:0:0:0:0:0:0:1 - - [05/Jun/2021:11:39:18 +0530] "GET /foodmanagement/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:11:40:10 +0530] "GET /foodmanagement/agent_login.jsp HTTP/1.1" 200 5074
0:0:0:0:0:0:0:1 - - [05/Jun/2021:11:40:26 +0530] "POST /foodmanagement/agent_login_action.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:11:40:26 +0530] "GET /foodmanagement/agent_home.jsp HTTP/1.1" 200 9614
0:0:0:0:0:0:0:1 - - [05/Jun/2021:11:40:43 +0530] "GET /foodmanagement/agent_status.jsp HTTP/1.1" 200 5644
0:0:0:0:0:0:0:1 - - [05/Jun/2021:11:43:09 +0530] "GET /foodmanagement/agent_home.jsp HTTP/1.1" 200 9614
0:0:0:0:0:0:0:1 - - [05/Jun/2021:11:45:30 +0530] "GET /foodmanagement/agent_home.jsp HTTP/1.1" 200 8790
0:0:0:0:0:0:0:1 - - [05/Jun/2021:11:46:12 +0530] "GET /foodmanagement/about.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [05/Jun/2021:11:46:44 +0530] "GET /foodmanagement/agent_home.jsp HTTP/1.1" 200 8791
0:0:0:0:0:0:0:1 - - [05/Jun/2021:11:46:49 +0530] "GET /foodmanagement/about.html HTTP/1.1" 200 3311
0:0:0:0:0:0:0:1 - - [05/Jun/2021:12:04:36 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4582
0:0:0:0:0:0:0:1 - - [05/Jun/2021:12:04:49 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4582
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:42:42 +0530] "GET /foodmanagement/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:43:00 +0530] "GET /foodmanagement/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:45:38 +0530] "GET /foodmanagement/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:45:46 +0530] "GET /foodmanagement/donar_reg.jsp HTTP/1.1" 200 6198
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:45:55 +0530] "GET /foodmanagement/donar_login.jsp HTTP/1.1" 200 5084
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:46:06 +0530] "POST /foodmanagement/donar_login_action.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:46:09 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 7223
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:46:18 +0530] "GET /foodmanagement/donar_login.jsp HTTP/1.1" 200 5084
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:46:21 +0530] "GET /foodmanagement/admin_login.jsp HTTP/1.1" 200 4971
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:46:29 +0530] "POST /foodmanagement/admin_login_action.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:46:29 +0530] "GET /foodmanagement/admin_home.jsp HTTP/1.1" 200 4272
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:46:34 +0530] "GET /foodmanagement/view_donar_request.jsp HTTP/1.1" 200 4490
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:46:56 +0530] "POST /foodmanagement/donar_login_action.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:46:56 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 7223
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:47:24 +0530] "POST /foodmanagement/food_details.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:47:24 +0530] "GET /foodmanagement/donar_home.jsp?id2=Daksha HTTP/1.1" 200 7371
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:47:26 +0530] "GET /foodmanagement/donar_login.jsp HTTP/1.1" 200 5084
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:47:29 +0530] "GET /foodmanagement/admin_login.jsp HTTP/1.1" 200 4971
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:47:38 +0530] "POST /foodmanagement/admin_login_action.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:47:38 +0530] "GET /foodmanagement/admin_home.jsp HTTP/1.1" 200 4272
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:47:41 +0530] "GET /foodmanagement/view_donar_request.jsp HTTP/1.1" 200 5156
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:47:47 +0530] "GET /foodmanagement/send.jsp?id=Daksha&area=Kukatpally&dt=2021-06-05&desc=Briyani HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:47:47 +0530] "GET /foodmanagement/view_donar_request.jsp HTTP/1.1" 200 5163
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:47:50 +0530] "GET /foodmanagement/admin_login.jsp HTTP/1.1" 200 4971
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:47:54 +0530] "GET /foodmanagement/agent_login.jsp HTTP/1.1" 200 5074
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:48:01 +0530] "POST /foodmanagement/agent_login_action.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:48:01 +0530] "GET /foodmanagement/agent_home.jsp HTTP/1.1" 200 9606
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:48:04 +0530] "GET /foodmanagement/accept.jsp?dname=Daksha&area=Kukatpally&dt=9440586948&mob=7382554009&aname=Laxmi HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:48:04 +0530] "GET /foodmanagement/agent_home.jsp HTTP/1.1" 200 9554
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:48:09 +0530] "GET /foodmanagement/completed.jsp?id=Daksha&area=Kukatpally&dt=2021-06-05 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:48:09 +0530] "GET /foodmanagement/agent_home.jsp HTTP/1.1" 200 9125
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:48:29 +0530] "GET /foodmanagement/agent_home.jsp HTTP/1.1" 200 8787
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:48:30 +0530] "GET /foodmanagement/agent_login.jsp HTTP/1.1" 200 5074
0:0:0:0:0:0:0:1 - - [05/Jun/2021:13:48:32 +0530] "GET /foodmanagement/agent_login.jsp HTTP/1.1" 200 5074
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:26:35 +0530] "GET /foodmanagement/donar_reg.jsp HTTP/1.1" 200 6198
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:26:41 +0530] "GET /foodmanagement/donar_login.jsp HTTP/1.1" 200 5084
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:26:53 +0530] "POST /foodmanagement/donar_login_action.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:26:53 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 7223
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:27:36 +0530] "POST /foodmanagement/food_details.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:27:36 +0530] "GET /foodmanagement/donar_home.jsp?id2=Daksha HTTP/1.1" 200 7371
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:27:42 +0530] "GET /foodmanagement/donar_login.jsp HTTP/1.1" 200 5084
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:27:45 +0530] "GET /foodmanagement/admin_login.jsp HTTP/1.1" 200 4971
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:27:53 +0530] "POST /foodmanagement/admin_login_action.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:27:53 +0530] "GET /foodmanagement/admin_home.jsp HTTP/1.1" 200 4272
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:27:58 +0530] "GET /foodmanagement/view_donar_request.jsp HTTP/1.1" 200 5156
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:28:07 +0530] "GET /foodmanagement/send.jsp?id=Daksha&area=Kukatpally&dt=2021-06-05&desc=Briyani HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:28:07 +0530] "GET /foodmanagement/view_donar_request.jsp HTTP/1.1" 200 5163
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:28:19 +0530] "GET /foodmanagement/admin_login.jsp HTTP/1.1" 200 4971
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:28:21 +0530] "GET /foodmanagement/agent_login.jsp HTTP/1.1" 200 5074
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:28:27 +0530] "POST /foodmanagement/agent_login_action.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:28:27 +0530] "GET /foodmanagement/agent_home.jsp HTTP/1.1" 200 9606
