127.0.0.1 - - [29/May/2021:10:19:59 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/May/2021:10:20:03 +0530] "GET /foodmanagement/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2021:10:22:34 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [29/May/2021:10:22:35 +0530] "GET /foodmanagement/images/img_bg_1.jpg HTTP/1.1" 200 64546
0:0:0:0:0:0:0:1 - - [29/May/2021:10:22:35 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/May/2021:10:49:55 +0530] "GET /foodmanagement/donar_login.jsp HTTP/1.1" 200 5084
0:0:0:0:0:0:0:1 - - [29/May/2021:10:50:04 +0530] "GET /foodmanagement/donar_reg.jsp HTTP/1.1" 200 6394
0:0:0:0:0:0:0:1 - - [29/May/2021:10:50:16 +0530] "GET /foodmanagement/agent_reg.jsp HTTP/1.1" 200 7850
0:0:0:0:0:0:0:1 - - [29/May/2021:10:50:39 +0530] "GET /foodmanagement/donar_login.jsp HTTP/1.1" 200 5084
0:0:0:0:0:0:0:1 - - [29/May/2021:10:50:50 +0530] "POST /foodmanagement/donar_login_action.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2021:10:50:52 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 6773
0:0:0:0:0:0:0:1 - - [29/May/2021:10:51:39 +0530] "GET /foodmanagement/donar_login.jsp HTTP/1.1" 200 5084
0:0:0:0:0:0:0:1 - - [29/May/2021:10:51:42 +0530] "GET /foodmanagement/admin_login.jsp HTTP/1.1" 200 4971
0:0:0:0:0:0:0:1 - - [29/May/2021:10:51:51 +0530] "POST /foodmanagement/admin_login_action.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2021:10:51:51 +0530] "GET /foodmanagement/admin_home.jsp HTTP/1.1" 200 4272
0:0:0:0:0:0:0:1 - - [29/May/2021:10:51:57 +0530] "GET /foodmanagement/view_donar_request.jsp HTTP/1.1" 200 5831
0:0:0:0:0:0:0:1 - - [29/May/2021:10:52:23 +0530] "GET /foodmanagement/admin_login.jsp HTTP/1.1" 200 4971
0:0:0:0:0:0:0:1 - - [29/May/2021:10:52:27 +0530] "GET /foodmanagement/agent_login.jsp HTTP/1.1" 200 5074
0:0:0:0:0:0:0:1 - - [29/May/2021:10:52:39 +0530] "POST /foodmanagement/agent_login_action.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2021:10:52:40 +0530] "GET /foodmanagement/agent_home.jsp HTTP/1.1" 200 9614
0:0:0:0:0:0:0:1 - - [29/May/2021:10:53:27 +0530] "GET /foodmanagement/agent_login.jsp HTTP/1.1" 200 5074
0:0:0:0:0:0:0:1 - - [29/May/2021:10:53:30 +0530] "GET /foodmanagement/donar_login.jsp HTTP/1.1" 200 5084
0:0:0:0:0:0:0:1 - - [29/May/2021:10:53:40 +0530] "POST /foodmanagement/donar_login_action.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2021:10:53:40 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 6773
0:0:0:0:0:0:0:1 - - [29/May/2021:10:53:43 +0530] "GET /foodmanagement/donar_status.jsp HTTP/1.1" 200 4121
0:0:0:0:0:0:0:1 - - [29/May/2021:10:53:47 +0530] "POST /foodmanagement/view_status.jsp HTTP/1.1" 200 4044
0:0:0:0:0:0:0:1 - - [29/May/2021:10:53:54 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 6773
0:0:0:0:0:0:0:1 - - [29/May/2021:10:54:13 +0530] "GET /foodmanagement/donar_login.jsp HTTP/1.1" 200 5084
0:0:0:0:0:0:0:1 - - [29/May/2021:10:54:16 +0530] "GET /foodmanagement/admin_login.jsp HTTP/1.1" 200 4971
0:0:0:0:0:0:0:1 - - [29/May/2021:10:54:25 +0530] "POST /foodmanagement/admin_login_action.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2021:10:54:25 +0530] "GET /foodmanagement/admin_home.jsp HTTP/1.1" 200 4272
0:0:0:0:0:0:0:1 - - [29/May/2021:10:54:40 +0530] "GET /foodmanagement/admin_login.jsp HTTP/1.1" 200 4971
0:0:0:0:0:0:0:1 - - [29/May/2021:10:55:46 +0530] "GET /foodmanagement/donar_login.jsp HTTP/1.1" 200 5084
0:0:0:0:0:0:0:1 - - [29/May/2021:10:55:55 +0530] "POST /foodmanagement/donar_login_action.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2021:10:55:55 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 6773
0:0:0:0:0:0:0:1 - - [29/May/2021:10:58:45 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 6773
0:0:0:0:0:0:0:1 - - [29/May/2021:10:58:48 +0530] "GET /foodmanagement/donar_login.jsp HTTP/1.1" 200 5084
0:0:0:0:0:0:0:1 - - [29/May/2021:10:59:18 +0530] "GET /foodmanagement/agent_reg.jsp HTTP/1.1" 200 7850
0:0:0:0:0:0:0:1 - - [29/May/2021:14:02:34 +0530] "GET /foodmanagement/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2021:14:21:56 +0530] "GET /foodmanagement/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2021:14:36:35 +0530] "GET /foodmanagement/donar_reg.jsp HTTP/1.1" 200 6394
0:0:0:0:0:0:0:1 - - [29/May/2021:14:36:40 +0530] "GET /foodmanagement/agent_reg.jsp HTTP/1.1" 200 7850
0:0:0:0:0:0:0:1 - - [29/May/2021:14:37:19 +0530] "GET /foodmanagement/donar_login.jsp HTTP/1.1" 200 5084
