0:0:0:0:0:0:0:1 - - [04/Jun/2021:20:59:18 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4757
0:0:0:0:0:0:0:1 - - [04/Jun/2021:20:59:25 +0530] "GET /foodmanagement/help.jsp HTTP/1.1" 200 4825
0:0:0:0:0:0:0:1 - - [04/Jun/2021:20:59:26 +0530] "GET /foodmanagement/css/animate.css HTTP/1.1" 200 73008
0:0:0:0:0:0:0:1 - - [04/Jun/2021:20:59:26 +0530] "GET /foodmanagement/css/icomoon.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [04/Jun/2021:20:59:26 +0530] "GET /foodmanagement/css/glyphicon.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [04/Jun/2021:20:59:26 +0530] "GET /foodmanagement/css/themify-icons.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [04/Jun/2021:20:59:26 +0530] "GET /open-iconic/svg/phone.svg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Jun/2021:20:59:30 +0530] "GET /foodmanagement/about.html HTTP/1.1" 200 3311
0:0:0:0:0:0:0:1 - - [04/Jun/2021:20:59:49 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4757
0:0:0:0:0:0:0:1 - - [04/Jun/2021:21:00:11 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4757
0:0:0:0:0:0:0:1 - - [04/Jun/2021:21:01:08 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4761
0:0:0:0:0:0:0:1 - - [04/Jun/2021:21:21:19 +0530] "GET /foodmanagement/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2021:21:21:36 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4759
0:0:0:0:0:0:0:1 - - [04/Jun/2021:21:21:50 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4760
0:0:0:0:0:0:0:1 - - [04/Jun/2021:21:22:02 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4761
0:0:0:0:0:0:0:1 - - [04/Jun/2021:22:03:21 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4762
0:0:0:0:0:0:0:1 - - [04/Jun/2021:22:04:20 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4762
0:0:0:0:0:0:0:1 - - [04/Jun/2021:22:04:30 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4761
0:0:0:0:0:0:0:1 - - [04/Jun/2021:22:04:50 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4760
0:0:0:0:0:0:0:1 - - [04/Jun/2021:22:05:11 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4745
0:0:0:0:0:0:0:1 - - [04/Jun/2021:22:05:28 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4761
0:0:0:0:0:0:0:1 - - [04/Jun/2021:22:05:31 +0530] "GET /foodmanagement/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2021:22:05:35 +0530] "GET /foodmanagement/home.html HTTP/1.1" 304 -
