127.0.0.1 - - [20/May/2021:14:34:48 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/May/2021:14:34:56 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [20/May/2021:14:34:58 +0530] "GET /foodmanagement/images/img_bg_1.jpg HTTP/1.1" 200 64546
0:0:0:0:0:0:0:1 - - [20/May/2021:14:35:43 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [20/May/2021:14:35:44 +0530] "GET /foodmanagement/images/img_bg_1.jpg HTTP/1.1" 200 64546
0:0:0:0:0:0:0:1 - - [20/May/2021:14:35:44 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/May/2021:14:35:51 +0530] "GET /foodmanagement/agent_reg.jsp HTTP/1.1" 200 7712
0:0:0:0:0:0:0:1 - - [20/May/2021:14:35:58 +0530] "GET /foodmanagement/admin_login.jsp HTTP/1.1" 200 5056
0:0:0:0:0:0:0:1 - - [20/May/2021:14:36:08 +0530] "POST /foodmanagement/admin_login_action.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/May/2021:14:36:08 +0530] "GET /foodmanagement/admin_home.jsp HTTP/1.1" 200 4379
0:0:0:0:0:0:0:1 - - [20/May/2021:14:36:12 +0530] "GET /foodmanagement/add_agent.jsp HTTP/1.1" 200 8278
0:0:0:0:0:0:0:1 - - [20/May/2021:15:54:53 +0530] "GET /foodmanagement/admin_home.jsp HTTP/1.1" 200 4379
0:0:0:0:0:0:0:1 - - [20/May/2021:15:54:54 +0530] "GET /foodmanagement/admin_login.jsp HTTP/1.1" 200 5056
0:0:0:0:0:0:0:1 - - [20/May/2021:15:55:06 +0530] "POST /foodmanagement/admin_login_action.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/May/2021:15:55:06 +0530] "GET /foodmanagement/admin_home.jsp HTTP/1.1" 200 4379
0:0:0:0:0:0:0:1 - - [20/May/2021:15:55:09 +0530] "GET /foodmanagement/view_agent.jsp HTTP/1.1" 200 4563
0:0:0:0:0:0:0:1 - - [20/May/2021:15:55:17 +0530] "GET /foodmanagement/add_agent.jsp HTTP/1.1" 200 8278
0:0:0:0:0:0:0:1 - - [20/May/2021:15:56:53 +0530] "GET /foodmanagement/view_agent.jsp HTTP/1.1" 200 4563
0:0:0:0:0:0:0:1 - - [20/May/2021:15:57:01 +0530] "GET /foodmanagement/view_donar_request.jsp HTTP/1.1" 200 5728
0:0:0:0:0:0:0:1 - - [20/May/2021:16:01:56 +0530] "GET /foodmanagement/admin_login.jsp HTTP/1.1" 200 5056
0:0:0:0:0:0:0:1 - - [20/May/2021:16:02:00 +0530] "GET /foodmanagement/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2021:16:34:29 +0530] "GET /foodmanagement/admin_login.jsp HTTP/1.1" 200 5056
0:0:0:0:0:0:0:1 - - [20/May/2021:16:34:31 +0530] "GET /foodmanagement/admin_login.jsp HTTP/1.1" 200 5056
0:0:0:0:0:0:0:1 - - [20/May/2021:16:34:36 +0530] "GET /foodmanagement/admin_login.jsp HTTP/1.1" 200 5056
0:0:0:0:0:0:0:1 - - [20/May/2021:16:34:44 +0530] "POST /foodmanagement/admin_login_action.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/May/2021:16:34:44 +0530] "GET /foodmanagement/admin_home.jsp HTTP/1.1" 200 4379
0:0:0:0:0:0:0:1 - - [20/May/2021:16:34:50 +0530] "GET /foodmanagement/view_agent.jsp HTTP/1.1" 200 4527
0:0:0:0:0:0:0:1 - - [20/May/2021:16:35:35 +0530] "GET /foodmanagement/view_agent.jsp HTTP/1.1" 200 4589
0:0:0:0:0:0:0:1 - - [20/May/2021:16:36:04 +0530] "GET /foodmanagement/view_agent.jsp HTTP/1.1" 200 4540
